ensemble,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,survived,vol_scale
TRENDQUAL,XAU_USD,forex,-0.5576673822440452,0.7867746537464129,0.06376474259224293,-1.4220586264526442,-0.05739740878410918,0.11680259039359796,0.007782336208398602,-0.28612954818921976,292,0.33050333535476045,False,0.0
MEANREV,XAU_USD,forex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,0.0
VOLREGIME,XAU_USD,forex,-0.366922570698803,0.9249663047610468,0.1693878619886723,0.49883246010437604,-0.05579935041696851,0.167384179443107,0.02770837421836596,-0.2718268505565704,237,0.9866585809581565,False,0.0
SIGNVOTE,SPX500_USD,index,-0.6082828200595646,-0.21955421465534258,-0.4874108699627559,-0.7309393371150221,-0.1486866941603983,-0.03732281745161951,-0.10702635771607301,-0.5617212466109105,428,0.8577481840193705,False,0.0
ZSCORE,SPX500_USD,index,-1.5061274955966513,-1.6214281098130645,-1.5222404038874804,-1.391868162841034,-0.3123684035012424,-0.23985805928944484,-0.28524286311208324,-0.7615080396080324,537,0.5393462469733656,False,0.0
TRENDQUAL,SPX500_USD,index,-0.9757428758286967,0.3187159084068399,-0.6090533543311066,-1.541253034851065,-0.14722131331902524,0.03018349133893273,-0.08085559341671411,-0.47016129449196287,306,0.3450363196125908,False,0.0
MEANREV,SPX500_USD,index,-0.7383124903198621,0.0,-0.5839481188741261,-1.200735099064561,-0.009461414559701894,0.0,-0.005921974972597917,-0.026658800106494795,2,0.0012106537530266344,False,0.0
VOLREGIME,SPX500_USD,index,0.08911373481735922,0.589084595829661,0.24437274742899343,0.23011596157898587,0.018270285381107653,0.09261495550986194,0.04608203243895883,-0.28906534357115676,167,0.986682808716707,False,0.0
SIGNVOTE,NAS100_USD,index,-1.1784530862738585,-0.5631525835009852,-0.9777585314755141,-1.0549801112900477,-0.34898193545709144,-0.12734517278511873,-0.2660693934890048,-0.8101456562287385,426,0.8571428571428571,False,0.0
ZSCORE,NAS100_USD,index,-1.95504483883817,-1.6073374977245414,-1.831675309489371,-1.4064587349887543,-0.47411440065185056,-0.3014495011191645,-0.40952184138356973,-0.87268938776012,529,0.5102905569007264,False,0.0
TRENDQUAL,NAS100_USD,index,-0.8806582670835547,1.0991250719678693,-0.29587027290330864,-1.2522442652449413,-0.15837565268991496,0.13715210122501345,-0.047821081310117315,-0.452118788097173,280,0.3474576271186441,False,0.0
